date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-06-13,1377.6000,21.5820,51.8500,25.0000,,20.8700,3.7110,84.9100,6.4762,8921.56,139.77,-1.0203,-0.9818,0.1352,0.2138,,1.5078,3.1406,1.3972,0.2404
2013-06-14,1387.3000,21.9530,52.0500,24.9567,,20.8700,3.7590,84.9100,,,,0.7041,1.7190,0.3857,-0.1733,,0.0000,1.2935,0.0000,0.5513
2013-06-17,1382.8000,21.7570,52.3600,24.9833,,21.2400,3.8090,85.6300,6.4615,8934.96,140.58,-0.3244,-0.8928,0.5956,0.1069,,1.7729,1.3301,0.8479,0.3143
2013-06-18,1366.6000,21.6760,52.3500,25.2433,,21.5700,3.8750,86.3600,6.4452,8808.01,139.71,-1.1715,-0.3723,-0.0191,1.0407,,1.5537,1.7327,0.8525,0.2062
2013-06-19,1373.6000,21.6220,51.3700,24.8200,,20.8900,3.8070,84.8600,6.4562,8868.24,139.60,0.5122,-0.2491,-1.8720,-1.6770,,-3.1525,-1.7548,-1.7369,-1.1185
2013-06-20,1285.9000,19.8220,49.4100,24.3433,,20.6600,3.7060,82.6200,6.5586,8433.70,130.00,-6.3847,-8.3249,-3.8155,-1.9205,,-1.1010,-2.6530,-2.6396,-4.2181
2013-06-21,1291.6000,19.9580,49.9100,24.5033,,20.5400,3.7380,83.2000,,,,0.4433,0.6861,1.0119,0.6573,,-0.5808,0.8635,0.7020,0.5462
2013-06-24,1276.8000,19.4930,49.0600,24.7333,,20.3000,3.6690,84.6100,6.7493,8617.51,131.56,-1.1459,-2.3299,-1.7031,0.9387,,-1.1685,-1.8459,1.6947,-0.9060
2013-06-25,1274.8000,19.5260,49.2200,24.7900,,20.7500,3.7100,85.3500,6.7046,8547.02,130.91,-0.1566,0.1693,0.3261,0.2291,,2.2168,1.1175,0.8746,0.4842
2013-06-26,1229.6000,18.5870,49.7900,25.0033,,20.6800,3.7250,86.9900,6.7391,8286.36,125.26,-3.5457,-4.8090,1.1581,0.8606,,-0.3373,0.4043,1.9215,-1.0518
2013-06-27,1211.4000,18.5330,49.7200,25.0867,,20.7000,3.7320,86.7100,6.7381,8162.51,124.88,-1.4802,-0.2905,-0.1406,0.3333,,0.0967,0.1879,-0.3219,-0.4032
2013-06-28,1223.8000,19.4510,49.1200,24.8300,,20.6600,3.7380,85.8600,,,,1.0236,4.9533,-1.2068,-1.0231,,-0.1932,0.1608,-0.9803,0.3923
2013-07-01,1255.9000,19.5600,50.1600,24.8633,,20.6600,3.7610,86.6300,6.6718,8379.05,130.50,2.6230,0.5604,2.1173,0.1342,,0.0000,0.6153,0.8968,1.2874
2013-07-02,1243.6000,19.2980,50.5000,24.9033,,20.6700,3.8480,86.5700,6.7154,8351.27,129.59,-0.9794,-1.3395,0.6778,0.1609,,0.0484,2.3132,-0.0693,-0.0490
2013-07-03,1252.1000,19.6890,50.1400,24.9200,,20.6800,3.8590,86.7800,6.6832,8368.03,131.59,0.6835,2.0261,-0.7129,0.0669,,0.0484,0.2859,0.2426,0.3575
2013-07-04,,,,,,,,,6.6782,,,,,,,,,,,
2013-07-05,1212.9000,18.7260,50.5800,25.0700,,20.7100,3.8810,87.8700,,,,-3.1307,-4.8911,0.8775,0.6019,,0.1451,0.5701,1.2561,-1.0097
2013-07-08,1234.9000,19.0250,51.1300,25.5700,,21.4700,3.7270,88.5900,6.7804,8373.12,129.00,1.8138,1.5967,1.0874,1.9944,,3.6697,-3.9681,0.8194,1.2605
2013-07-09,1245.9000,19.1250,51.7900,25.6767,,21.9600,3.7580,88.8800,6.7973,8468.76,130.00,0.8908,0.5256,1.2908,0.4172,,2.2823,0.8318,0.3274,0.9491
2013-07-10,1247.4000,19.1510,51.4200,25.5900,,21.9100,3.8330,89.2400,6.5877,8217.50,126.16,0.1204,0.1359,-0.7144,-0.3375,,-0.2277,1.9957,0.4050,0.0745
2013-07-11,1280.1000,19.9430,51.5400,25.8767,,22.1600,3.8590,89.6700,6.6565,8520.99,132.75,2.6214,4.1356,0.2334,1.1202,,1.1410,0.6783,0.4818,1.6400
2013-07-12,1277.8000,19.7790,51.4500,25.8767,,21.9300,3.8950,89.9900,,,,-0.1797,-0.8224,-0.1746,0.0000,,-1.0379,0.9329,0.3569,-0.1686
2013-07-15,1283.8000,19.8260,51.5400,25.6767,,21.3500,3.8010,90.4000,6.6789,8574.37,132.42,0.4696,0.2376,0.1749,-0.7729,,-2.6448,-2.4133,0.4556,-0.4477
2013-07-16,1290.8000,19.9230,51.0000,25.7900,,20.9700,3.8870,90.4000,6.5822,8496.30,131.14,0.5453,0.4893,-1.0477,0.4414,,-1.7799,2.2626,0.0000,0.1333
2013-07-17,1277.9000,19.4090,50.6700,25.7333,,20.9900,3.8920,90.1300,6.5651,8389.48,127.42,-0.9994,-2.5799,-0.6471,-0.2197,,0.0954,0.1286,-0.2987,-0.7052
